<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Polaroid PX-100UV+ Warm + , Полароид PX-100UV+ теплый +
Polaroid PX-100UV+ Warm ++ , Полароид PX-100UV+ теплый ++
Polaroid PX-100UV+ Warm +++ , Полароид PX-100UV+ Теплый + +++
Polaroid PX-100UV+ Warm - , Полароид PX-100UV+ Теплый -
Polaroid PX-100UV+ Warm -- , Полароид PX-100UV+ Теплый...
Polaroid PX-680 , Полароид PX-680
Polaroid PX-680 + , Полароид PX-680 +
Polaroid PX-680 ++ , Полароид PX-680 ++
Polaroid PX-680 - , Полароид PX-680 -
Polaroid PX-680 -- , Полароид PX-680 --
Polaroid PX-680 Cold , Полароид PX-680 Холодный
Polaroid PX-680 Cold + , Полароид PX-680 Холодный +
Polaroid PX-680 Cold ++ , Полароид PX-680 Холодный ++
Polaroid PX-680 Cold ++a , Полароид PX-680 Холодный ++a
Polaroid PX-680 Cold - , Полароид PX-680 Холодный -
Polaroid PX-680 Cold -- , Полароид PX-680 Холодный.
Polaroid PX-680 Warm , Полароид PX-680 Теплый
Polaroid PX-680 Warm + , Полароид PX-680 Теплый +
Polaroid PX-680 Warm ++ , Полароид PX-680 Теплый ++
Polaroid PX-680 Warm - , Полароид PX-680 Теплый -
Polaroid PX-680 Warm -- , Полароид PX-680 Теплый...
Polaroid PX-70 , Полароид PX-70
Polaroid PX-70 + , Полароид PX-70 +
Polaroid PX-70 ++ , Полароид PX-70 ++
Polaroid PX-70 +++ , Полароид PX-70 +++
Polaroid PX-70 - , Полароид PX-70 -
Polaroid PX-70 -- , Полароид PX-70 --
Polaroid PX-70 Cold , Полароид PX-70 Холодный
Polaroid PX-70 Cold + , Полароид PX-70 Холодный +
Polaroid PX-70 Cold ++ , Полароид PX-70 Холодный ++
Polaroid PX-70 Cold - , Полароид PX-70 Холодный -
Polaroid PX-70 Cold -- , Полароид PX-70 Холодный...
Polaroid PX-70 Warm , Полароид PX-70 Теплый
Polaroid PX-70 Warm + , Полароид PX-70 Теплый +
Polaroid PX-70 Warm ++ , Полароид PX-70 Теплый ++
Polaroid PX-70 Warm - , Полароид PX-70 Теплый -
Polaroid PX-70 Warm -- , Полароид PX-70 Теплый...
Polaroid Time Zero (Expired) , Полароид Время Ноль (истекло)
Polaroid Time Zero (Expired) + , Полароид Время Ноль (истекло) +
Polaroid Time Zero (Expired) ++ , Полароидное время Ноль (истекло) ++
Polaroid Time Zero (Expired) - , Полароид Время Ноль (истекло) -
Polaroid Time Zero (Expired) -- , Полароид Время Ноль (истекло)...
Polaroid Time Zero (Expired) --- , Полароид Время Ноль (истекло) ---
Polaroid Time Zero (Expired) Cold , Полароид Время Ноль (истекло) Холодный
Polaroid Time Zero (Expired) Cold - , Полароид Время Ноль (истекло) Холодно -
Polaroid Time Zero (Expired) Cold -- , Полароид Время Ноль (истекло) Холодно...
Polaroid Time Zero (Expired) Cold --- , Полароид Время Ноль (истекло) Холодно ---
Pole Lat , Полярный лат
Pole Long , Поляк Лонг
Pole Rotation , Вращение полюса
Polka Dots , точки Польки
Pollock: Convergence , Поллок: Конвергенция
Pollock: Summertime Number 9A , Поллок: Номер летнего времени 9A
Polygonize [Delaunay] , Полигонизируй [Делоне]
Polygonize [Energy] , Полигонизируй [Энергия]
Pop Shadows , Поп-Тени
Portrait , Портрет
Portrait Retouching , Ретуширование портретов
Portrait-1 , Портрет-1
Portrait-2 , Портрет-2
Portrait-3 , Портрет-3
Portrait-4 , Портрет-4
Portrait-5 , Портрет-5
Portrait-6 , Портрет-6
Portrait-7 , Портрет-7
Portrait-8 , Портрет-8
Portrait-9 , Портрет-9
Portrait0 , Портрет0
Portrait1 , Портрет1
Portrait10 , Портрет10
Portrait2 , Портрет2
Portrait3 , Портрет3
Portrait4 , Портрет4
Portrait5 , Портрет5
Portrait6 , Портрет6
Portrait7 , Портрет7
Portrait8 , Портрет8
Portrait9 , Портрет9
Position , Позиция
Position X (%) , Положение Х (%)
Position X Origin (%) , Положение Х Происхождение (%)
Position Y (%) , Позиция Y (%)
Position Y Origin (%) , Позиция Y Происхождение (%)
Positive , Положительный
Post-Gamma , Пост-гамма
Post-Normalize , Пост-нормализация
Post-Process , Постпроцесс
Poster Edges , Кромки плакатов
Posterization Antialiasing , Постеризация Сглаживание
Posterization Level , Уровень постеризации
Posterize , Плакат
Posterized Dithering , Постеризованная дизеринг
Pow , Поу
Pre-Defined , Предварительно определено
Pre-Defined Colormap , Предварительно определенная цветовая карта
Pre-Gamma , Пре-гамма
Pre-Normalize , Предварительно зарегистрировать
Pre-Normalize Image , Предварительное форматирование изображения
Pre-Process , Препроцесс
Precision , Точность
Precision (%) , Точность (%)
Preliminary Surface Shift , Предварительный сдвиг поверхности
Preliminary X-Axis Scaling , Предварительное масштабирование по оси X
Preliminary Y-Axis Scaling , Предварительное масштабирование по оси Y
Preprocessor Power , Мощность препроцессора
Preprocessor Radius , Препроцессор Радиус
Preserve Canvas for Post Bump Mapping , Сохранить холст для пост-картографирования ударов
Preserve Edges , Сохранить края
Preserve Image Dimension , Сохранить размер изображения
Preserve Initial Brightness , Сохранять первоначальную яркость
Preserve Luminance , Сохранить яркость
Preset , Предустановленный сайт
Preview , Предварительный просмотр
Preview All Outputs , Предварительный просмотр всех выходов
Preview Bands , Предварительный просмотр Полосы
